bin,packets,bytes
17350.0,1,342
17360.0,2,428
17370.0,5,928
17380.0,1,342
17390.0,3,600
17400.0,5,672
17430.0,3,244
17440.0,1,86
17460.0,3,244
17470.0,3,1026
17480.0,8,1698
17490.0,8,1677
17500.0,10,2589
17510.0,1,342
17520.0,5,672
17530.0,1,342
17550.0,4,330
17580.0,3,244
17590.0,49,5241
17600.0,24,3549
17610.0,6,694
17620.0,1,342
17630.0,2,428
17640.0,4,586
17650.0,1,342
17660.0,1,342
17670.0,4,330
17690.0,2,258
17700.0,3,244
17710.0,1,86
17720.0,1,342
17730.0,6,1270
17740.0,2,428
17750.0,1,342
17760.0,4,586
17770.0,1,342
17780.0,3,770
17790.0,3,244
17820.0,2,181
